label,precision,recall,f1
0,0.9999999999999,0.9999999999999,0.9999999999994
1,0.9880239520958064,0.989999999999998,0.989010989010487
2,0.972656249999998,0.995999999999998,0.9841897233196562
3,0.9920477137176918,0.997999999999998,0.9950149551340941
4,0.9803149606299193,0.995999999999998,0.9880952380947361
5,0.9999999999998889,0.9999999999998889,0.9999999999993889
6,0.9999999999999979,0.9639999999999981,0.9816700610992944
7,0.9999999999999,0.9999999999999,0.9999999999994
8,0.9999999999998334,0.9999999999998334,0.9999999999993334
9,0.9873417721518956,0.9689440993788789,0.9780564263317852
